,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Shai Gilgeous-Alexander,27.0,OKC,PG,68,68,33.2,10.8,19.4,0.553,1.7,4.4,0.386,9.1,15.0,0.602,0.597,7.9,9.0,0.879,0.6,3.7,4.3,6.6,1.4,0.8,2.2,2.0,31.1
1,2.0,Chet Holmgren,23.0,OKC,PF,69,69,28.9,6.3,11.3,0.557,1.3,3.5,0.362,5.0,7.8,0.646,0.614,3.3,4.1,0.792,1.9,7.0,8.9,1.7,0.6,1.9,1.6,2.3,17.1
2,3.0,Jalen Williams,24.0,OKC,SG,33,33,28.4,6.5,13.5,0.484,0.7,2.3,0.299,5.8,11.2,0.523,0.51,3.3,3.9,0.837,0.8,3.8,4.6,5.5,1.2,0.3,1.9,2.0,17.1
3,4.0,Luguentz Dort,26.0,OKC,SF,69,69,26.8,2.9,7.6,0.385,1.9,5.4,0.344,1.1,2.2,0.487,0.508,0.6,0.8,0.759,0.8,2.7,3.6,1.2,0.9,0.4,0.8,2.6,8.3
4,5.0,Cason Wallace,22.0,OKC,SG,77,58,26.6,3.3,7.6,0.432,1.3,3.7,0.351,2.0,3.8,0.51,0.518,0.7,0.9,0.809,0.8,2.3,3.1,2.6,1.9,0.4,0.9,2.0,8.6
5,6.0,Ajay Mitchell,23.0,OKC,SG,57,16,25.8,5.0,10.4,0.485,1.1,3.1,0.347,3.9,7.3,0.543,0.536,2.5,2.8,0.87,0.7,2.6,3.3,3.6,1.2,0.3,1.4,2.1,13.6
6,7.0,Isaiah Hartenstein,27.0,OKC,C,47,46,24.2,3.9,6.3,0.622,0.0,0.1,0.0,3.9,6.1,0.637,0.622,1.4,2.2,0.61,3.2,6.3,9.4,3.5,1.0,0.8,1.7,2.5,9.2
7,8.0,Aaron Wiggins,27.0,OKC,SG,65,21,21.8,3.6,8.2,0.431,1.5,4.2,0.356,2.1,4.1,0.508,0.521,0.8,1.1,0.736,0.6,2.4,3.1,1.7,0.9,0.4,1.2,1.3,9.4
8,9.0,Isaiah Joe,26.0,OKC,SG,71,9,21.2,3.5,7.6,0.455,2.5,6.0,0.423,0.9,1.6,0.574,0.622,1.5,1.7,0.894,0.5,2.1,2.5,1.3,0.7,0.2,0.6,1.7,11.1
9,10.0,Jaylin Williams,23.0,OKC,PF,65,11,19.6,2.3,5.4,0.423,1.5,3.9,0.383,0.8,1.5,0.531,0.563,1.1,1.4,0.793,0.5,5.0,5.5,2.4,0.5,0.6,1.0,2.0,7.2
10,11.0,Alex Caruso,31.0,OKC,SG,56,0,18.2,2.3,5.4,0.423,0.9,3.2,0.293,1.3,2.1,0.622,0.512,0.7,0.9,0.804,0.5,2.3,2.8,2.0,1.3,0.3,0.9,1.2,6.2
11,12.0,Jared McCain,21.0,OKC,SG,30,2,18.0,3.8,8.3,0.462,1.8,4.6,0.391,2.0,3.7,0.55,0.57,1.0,1.1,0.853,0.6,1.5,2.1,0.9,0.4,0.1,0.9,1.3,10.4
12,13.0,Nikola TopiÄ,20.0,OKC,PG,10,2,16.0,2.2,5.1,0.431,0.6,1.5,0.4,1.6,3.6,0.444,0.49,0.2,0.5,0.4,0.7,1.2,1.9,4.4,0.5,0.0,2.5,1.3,5.2
13,14.0,Payton Sandfort,23.0,OKC,SF,4,0,15.8,3.3,6.5,0.5,1.8,4.3,0.412,1.5,2.3,0.667,0.635,0.5,1.0,0.5,0.3,2.3,2.5,0.0,0.3,0.0,0.3,2.0,8.8
14,15.0,Kenrich Williams,31.0,OKC,PF,56,2,15.3,2.5,5.3,0.473,0.9,2.3,0.388,1.6,3.0,0.539,0.557,0.6,0.9,0.635,1.1,2.3,3.3,1.4,0.6,0.1,0.8,1.1,6.5
15,16.0,Branden Carlson,26.0,OKC,C,42,4,11.6,2.3,4.4,0.527,0.7,2.0,0.36,1.6,2.4,0.67,0.61,0.4,0.6,0.577,0.7,2.3,3.0,0.7,0.2,0.6,0.4,0.9,5.8
16,17.0,Ousmane Dieng,22.0,OKC,C,27,0,10.9,1.4,3.4,0.418,0.7,1.8,0.367,0.7,1.6,0.476,0.516,0.2,0.2,1.0,0.3,1.3,1.6,1.0,0.1,0.3,0.3,0.8,3.7
17,18.0,Brooks Barnhizer,23.0,OKC,SG,40,0,8.7,0.7,1.8,0.38,0.2,0.6,0.292,0.5,1.2,0.426,0.43,0.2,0.3,0.7,0.5,1.5,2.0,0.6,0.3,0.1,0.3,0.7,1.7
18,19.0,Chris Youngblood,23.0,OKC,SG,32,0,5.4,0.6,1.9,0.333,0.5,1.6,0.314,0.1,0.3,0.444,0.467,0.3,0.3,0.9,0.2,0.7,0.9,0.3,0.1,0.1,0.1,0.6,2.0
19,20.0,Buddy Boeheim,26.0,OKC,SF,4,0,3.8,0.5,1.5,0.333,0.5,1.5,0.333,0.0,0.0,,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.5
20,,Team Totals,,OKC,,82,82,242.1,43.1,89.1,0.484,13.8,37.9,0.365,29.3,51.2,0.572,0.561,19.0,23.2,0.817,9.6,34.6,44.1,25.8,9.7,5.5,12.6,19.0,119.0
0,1.0,De'Aaron Fox,28.0,SAS,PG,72,72,31.0,7.1,14.5,0.486,1.8,5.5,0.332,5.3,9.1,0.58,0.549,2.6,3.4,0.76,0.6,3.2,3.8,6.2,1.2,0.3,2.3,2.3,18.6
1,2.0,Devin Vassell,25.0,SAS,SG,67,65,30.5,4.9,11.3,0.437,2.5,6.4,0.384,2.4,4.8,0.508,0.547,1.6,1.9,0.815,0.6,3.4,4.0,2.5,0.9,0.4,0.9,1.6,13.9
2,3.0,Stephon Castle,21.0,SAS,PG,68,67,30.0,5.7,12.0,0.471,1.2,3.6,0.332,4.5,8.4,0.531,0.521,4.1,5.6,0.734,1.4,3.9,5.3,7.4,1.1,0.3,3.2,3.3,16.7
3,4.0,Victor Wembanyama,22.0,SAS,C,64,55,29.2,8.6,16.9,0.512,1.9,5.5,0.349,6.7,11.4,0.59,0.569,5.8,7.0,0.827,2.0,9.5,11.5,3.1,1.0,3.1,2.4,2.4,25.0
4,5.0,Julian Champagnie,24.0,SAS,SF,82,68,27.6,3.7,8.4,0.437,2.4,6.2,0.381,1.3,2.2,0.599,0.578,1.4,1.6,0.844,0.9,4.9,5.8,1.5,0.8,0.5,0.8,1.6,11.1
5,6.0,Harrison Barnes,33.0,SAS,PF,77,52,25.8,3.4,7.5,0.456,1.8,4.6,0.388,1.6,2.8,0.567,0.577,1.3,1.6,0.829,0.8,2.0,2.8,1.9,0.6,0.2,0.8,1.1,9.9
6,7.0,Keldon Johnson,26.0,SAS,SF,82,0,23.3,5.0,9.7,0.519,1.2,3.3,0.363,3.8,6.4,0.601,0.582,1.9,2.4,0.794,1.7,3.7,5.4,1.4,0.6,0.1,0.9,2.0,13.2
7,8.0,Dylan Harper,19.0,SAS,SG,69,4,22.6,4.8,9.5,0.505,0.9,2.6,0.343,3.9,6.9,0.565,0.551,1.3,1.7,0.756,0.8,2.6,3.4,3.9,0.8,0.3,1.4,2.0,11.8
8,9.0,Luke Kornet,30.0,SAS,C,68,25,21.0,2.6,4.0,0.643,0.0,0.0,,2.6,4.0,0.643,0.643,1.4,1.7,0.825,2.7,3.4,6.1,1.9,0.5,1.0,0.4,1.8,6.5
9,10.0,Jeremy Sochan,22.0,SAS,PF,28,0,12.8,1.7,3.5,0.475,0.3,1.3,0.257,1.4,2.3,0.594,0.52,0.4,0.6,0.688,0.9,1.7,2.6,1.0,0.4,0.2,0.6,1.8,4.1
10,11.0,Carter Bryant,20.0,SAS,PF,71,0,11.5,1.5,3.7,0.408,0.7,2.2,0.335,0.8,1.5,0.509,0.506,0.4,0.6,0.714,0.5,2.0,2.5,0.7,0.2,0.3,0.5,1.3,4.2
11,12.0,Kelly Olynyk,34.0,SAS,C,42,0,8.6,1.1,2.3,0.49,0.3,1.1,0.255,0.8,1.2,0.714,0.552,0.6,0.9,0.711,0.6,1.2,1.8,1.2,0.4,0.1,0.6,0.9,3.2
12,13.0,Mason Plumlee,35.0,SAS,C,6,1,7.8,0.3,0.3,1.0,0.0,0.0,,0.3,0.3,1.0,1.0,0.2,0.3,0.5,1.2,1.0,2.2,0.7,0.7,0.0,0.5,1.2,0.8
13,14.0,Lindy Waters III,28.0,SAS,SG,40,0,7.1,0.8,2.2,0.375,0.7,2.0,0.342,0.2,0.2,0.667,0.528,0.1,0.1,0.667,0.1,0.7,0.7,0.5,0.2,0.0,0.2,0.6,2.4
14,15.0,Jordan McLaughlin,29.0,SAS,PG,44,0,6.4,0.8,1.8,0.418,0.4,0.9,0.425,0.4,0.9,0.41,0.525,0.1,0.2,0.857,0.2,0.6,0.7,0.9,0.5,0.0,0.3,0.3,2.0
15,16.0,David Jones GarcÃ­a,24.0,SAS,SF,11,0,6.2,1.2,2.3,0.52,0.3,0.5,0.6,0.9,1.8,0.5,0.58,0.3,0.5,0.5,0.4,0.8,1.2,1.6,0.5,0.1,0.5,0.5,2.9
16,17.0,Bismack Biyombo,33.0,SAS,C,25,1,5.6,0.4,0.6,0.6,0.0,0.0,,0.4,0.6,0.6,0.6,0.2,0.3,0.714,0.2,0.8,1.0,0.2,0.2,0.1,0.3,1.1,0.9
17,18.0,Harrison Ingram,23.0,SAS,SF,7,0,3.7,0.7,0.9,0.833,0.1,0.1,1.0,0.6,0.7,0.8,0.917,0.0,0.0,,0.4,0.0,0.4,0.1,0.0,0.0,0.1,0.3,1.6
18,19.0,Stanley Umude,26.0,SAS,SG,2,0,3.5,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.5,1.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,1.0
19,20.0,Riley Minix,25.0,SAS,SF,3,0,2.7,1.3,2.0,0.667,0.3,1.0,0.333,1.0,1.0,1.0,0.75,0.0,0.0,,0.3,0.3,0.7,0.3,0.3,0.0,0.0,0.3,3.0
20,,Team Totals,,SAS,,82,82,240.6,43.4,89.9,0.483,13.6,37.9,0.359,29.8,52.0,0.574,0.559,19.3,24.6,0.787,11.4,35.6,47.0,28.1,7.5,5.5,13.5,18.9,119.8
0,1.0,Jaylen Brown,29.0,BOS,SF,71,71,34.4,10.4,21.7,0.477,2.0,5.7,0.347,8.4,16.0,0.523,0.522,6.0,7.5,0.795,1.1,5.8,6.9,5.1,1.0,0.4,3.6,2.7,28.7
1,2.0,Derrick White,31.0,BOS,SG,77,77,34.1,5.7,14.4,0.394,2.7,8.3,0.327,3.0,6.1,0.487,0.489,2.4,2.6,0.902,1.1,3.3,4.4,5.4,1.1,1.3,1.7,1.5,16.5
2,3.0,Jayson Tatum,27.0,BOS,PF,16,16,32.6,7.4,17.9,0.411,2.9,8.9,0.329,4.4,9.0,0.493,0.493,4.1,4.9,0.823,0.5,9.5,10.0,5.3,1.4,0.2,2.4,1.6,21.8
3,4.0,Payton Pritchard,28.0,BOS,PG,79,50,32.4,6.4,13.8,0.464,2.7,7.1,0.377,3.7,6.7,0.556,0.561,1.5,1.7,0.89,0.9,3.1,3.9,5.2,0.7,0.1,1.4,1.5,17.0
4,5.0,Neemias Queta,26.0,BOS,C,76,75,25.3,4.3,6.6,0.653,0.0,0.1,0.125,4.3,6.5,0.662,0.654,1.6,2.3,0.703,3.0,5.3,8.4,1.7,0.8,1.3,1.0,2.8,10.2
5,6.0,Sam Hauser,28.0,BOS,PF,78,49,24.8,3.2,7.7,0.419,2.5,6.5,0.393,0.7,1.2,0.557,0.584,0.2,0.3,0.85,0.7,3.1,3.8,1.5,0.5,0.3,0.4,1.4,9.2
6,7.0,Anfernee Simons,26.0,BOS,SG,49,0,24.5,5.1,11.6,0.44,2.7,6.7,0.395,2.4,4.9,0.502,0.555,1.3,1.5,0.889,0.5,1.9,2.4,2.4,0.6,0.1,1.1,1.7,14.2
7,8.0,Nikola VuÄeviÄ,35.0,BOS,C,16,1,21.1,3.8,8.7,0.439,1.1,3.3,0.34,2.7,5.4,0.5,0.504,0.9,1.2,0.789,1.6,5.1,6.6,2.0,0.4,0.6,1.0,1.9,9.7
8,9.0,Baylor Scheierman,25.0,BOS,SG,77,20,18.6,2.0,4.3,0.453,1.3,3.2,0.399,0.7,1.2,0.6,0.599,0.4,0.4,0.903,0.7,2.8,3.5,1.5,0.5,0.1,0.6,1.4,5.5
9,10.0,Jordan Walsh,21.0,BOS,PF,68,25,17.8,2.0,3.9,0.509,0.7,1.8,0.384,1.3,2.1,0.62,0.599,0.6,0.8,0.772,1.3,2.8,4.0,0.8,0.7,0.5,0.5,2.0,5.4
10,11.0,Luka Garza,27.0,BOS,C,69,6,16.2,3.0,5.2,0.577,0.8,1.8,0.433,2.2,3.3,0.657,0.654,1.3,1.7,0.769,2.3,1.8,4.1,1.0,0.4,0.4,0.7,2.3,8.1
11,12.0,Josh Minott,23.0,BOS,PF,33,10,15.9,2.1,4.1,0.507,1.0,2.3,0.442,1.1,1.8,0.593,0.632,0.6,0.8,0.769,1.2,2.4,3.6,1.0,0.7,0.4,0.6,1.5,5.8
12,13.0,Hugo GonzÃ¡lez,19.0,BOS,SF,74,3,14.6,1.6,3.3,0.476,0.6,1.6,0.362,1.0,1.8,0.577,0.561,0.2,0.4,0.5,0.8,2.5,3.3,0.5,0.6,0.3,0.5,1.7,3.9
13,14.0,Dalano Banton,26.0,BOS,PG,4,0,13.0,0.3,2.0,0.125,0.0,0.3,0.0,0.3,1.8,0.143,0.125,1.0,1.0,1.0,0.3,0.8,1.0,2.3,0.3,1.3,1.8,0.8,1.5
14,15.0,Ron Harper Jr.,25.0,BOS,SF,29,3,11.0,1.6,3.8,0.418,1.0,2.8,0.35,0.6,1.0,0.6,0.545,0.1,0.1,0.75,0.5,1.1,1.7,0.8,0.3,0.3,0.3,0.7,4.2
15,16.0,Chris Boucher,33.0,BOS,PF,9,0,10.4,0.9,2.8,0.32,0.2,1.7,0.133,0.7,1.1,0.6,0.36,0.3,0.4,0.75,0.2,1.8,2.0,0.3,0.6,0.8,0.1,1.9,2.3
16,17.0,Xavier Tillman Sr.,27.0,BOS,C,14,1,7.9,1.0,2.2,0.452,0.2,1.1,0.2,0.8,1.1,0.688,0.5,0.0,0.0,,0.7,1.1,1.8,0.4,0.4,0.1,0.4,0.6,2.2
17,18.0,John Tonje,24.0,BOS,SG,6,0,7.0,0.7,2.3,0.286,0.5,1.7,0.3,0.2,0.7,0.25,0.393,0.7,0.7,1.0,0.0,1.0,1.0,0.3,0.3,0.0,0.0,0.8,2.5
18,19.0,Amari Williams,24.0,BOS,PF,22,2,6.6,0.5,0.9,0.5,0.0,0.0,,0.5,0.9,0.5,0.5,0.5,0.6,0.714,0.4,1.4,1.8,0.5,0.1,0.5,0.5,0.9,1.4
19,20.0,Charles Bassey,25.0,BOS,C,5,0,3.4,1.2,1.4,0.857,0.0,0.0,,1.2,1.4,0.857,0.857,0.4,0.8,0.5,0.8,0.4,1.2,0.0,0.2,0.4,0.2,0.6,2.8
